type,value,role,label,source
ip,128.90.122.140,c2,Remcos,ThreatFox
url,http://175.107.215.0:42369/Mozi.m,phishing,Mozi,ThreatFox
ip,209.38.100.69,c2,Havoc,ThreatFox
domain,tudfpifq.shop-glpro.com,phishing,ClearFake,ThreatFox
domain,shop-glpro.com,phishing,ClearFake,ThreatFox
domain,kq36oivv.eng-cardioslim.com,phishing,ClearFake,ThreatFox
ip,3.110.54.253,c2,Unknown malware,ThreatFox
domain,h3tnyjph.vuhw.store,phishing,ClearFake,ThreatFox
domain,vuhw.store,phishing,ClearFake,ThreatFox
domain,fincoadvance.com,phishing,MacSync,ThreatFox
url,https://aidevmaster.com/curl/5b7250991558c1089d217b180d9418df77886996c22f8f319d7f640895e03381,phishing,MacSync,ThreatFox
url,https://alabamarecoverycenter.com/curl/b42a0ed9d1ecb72e42d6034502c304845d98805481d99cea4e259359f9ab206e,phishing,MacSync,ThreatFox
url,https://alluringsites.com/curl/d3a55738ee5c03c285567bd1e424bf9f731ca05150e69d3ed631f01eb0d0e521,phishing,MacSync,ThreatFox
url,https://atlantaairporttaxiservice.com/curl/8e92ee3f0bccc8211145e3aee82c34e9ae67058e9abf154e4b335a6575f97833,phishing,MacSync,ThreatFox
url,https://atlantaairporttaxiservice.com/curl/b42a0ed9d1ecb72e42d6034502c304845d98805481d99cea4e259359f9ab206e,phishing,MacSync,ThreatFox
url,https://atlantaairporttaxiservice.com/curl/fa90319c89e7a0272c859f9f1403c6c2f12793281d3a295ce283d6018d5dd1c3,phishing,MacSync,ThreatFox
url,https://bestbuydomain.com/curl/5b7250991558c1089d217b180d9418df77886996c22f8f319d7f640895e03381,phishing,MacSync,ThreatFox
url,https://byrnewealthmanagement.com/curl/1fb7b78a1dd8d2ae0b78c34784bad25d3fb0f13aad55e1e6e51c6c7b23bac23a,phishing,MacSync,ThreatFox
url,https://byrnewealthmanagement.com/curl/5b7250991558c1089d217b180d9418df77886996c22f8f319d7f640895e03381,phishing,MacSync,ThreatFox
url,https://cincycarpetcleaning.com/curl/6e2d25066bc1db68a10d55189c7c0bae6443d5178fd4310808270e261236ce30,phishing,MacSync,ThreatFox
url,https://criminallawyerpr.com/curl/720e1e04c2690ac14874d54823354d6bd06336b23e8458debaffeb2b18f5be6a,phishing,MacSync,ThreatFox
url,https://criminallawyerpr.com/curl/85cb26206d920216eee0c5f67e8de516b4d55bd1752025bb3c08a069a44fdbdf,phishing,MacSync,ThreatFox
url,https://criminallawyerpr.com/curl/8e92ee3f0bccc8211145e3aee82c34e9ae67058e9abf154e4b335a6575f97833,phishing,MacSync,ThreatFox
url,https://customroofingcontractors.com/curl/b42a0ed9d1ecb72e42d6034502c304845d98805481d99cea4e259359f9ab206e,phishing,MacSync,ThreatFox
url,https://dallasirrigationservices.com/curl/fa90319c89e7a0272c859f9f1403c6c2f12793281d3a295ce283d6018d5dd1c3,phishing,MacSync,ThreatFox
url,https://detroitconcretecontractor.com/curl/720e1e04c2690ac14874d54823354d6bd06336b23e8458debaffeb2b18f5be6a,phishing,MacSync,ThreatFox
url,https://elitefenceanddeck.com/curl/5b7250991558c1089d217b180d9418df77886996c22f8f319d7f640895e03381,phishing,MacSync,ThreatFox
url,https://fincoadvance.com/curl/899e38e42680fe273eeda8f62382dc988907196817db5bc06e374df6c8a6dfa9,phishing,MacSync,ThreatFox
url,https://hybridcustomhomes.com/curl/720e1e04c2690ac14874d54823354d6bd06336b23e8458debaffeb2b18f5be6a,phishing,MacSync,ThreatFox
url,https://legacybuilderscolorado.com/curl/499a828191d39ffd2cf302b35184c87696d5e1325bc40406a88bc7d213ec83df,phishing,MacSync,ThreatFox
url,https://legacybuilderscolorado.com/curl/720e1e04c2690ac14874d54823354d6bd06336b23e8458debaffeb2b18f5be6a,phishing,MacSync,ThreatFox
url,https://legacybuilderscolorado.com/curl/eaed253ce468efe4a95d739c882b9694ad635169136238a4a5849734f5fd1bb8,phishing,MacSync,ThreatFox
url,https://miamipcsupport.com/curl/57133df069b129caa0380eff96eb60ccfb5c58eb19f2d9dc8447618a1898b76a,phishing,MacSync,ThreatFox
url,https://olympiapetemergency.com/curl/5b7250991558c1089d217b180d9418df77886996c22f8f319d7f640895e03381,phishing,MacSync,ThreatFox
url,https://oregoninteriors.com/curl/85cb26206d920216eee0c5f67e8de516b4d55bd1752025bb3c08a069a44fdbdf,phishing,MacSync,ThreatFox
url,https://premierrentalpurchase.com/curl/5b7250991558c1089d217b180d9418df77886996c22f8f319d7f640895e03381,phishing,MacSync,ThreatFox
domain,wlc.v-panel.asia,c2,Vidar,ThreatFox
domain,ty.zk89.net,c2,Vidar,ThreatFox
domain,ty.199cuan.org,c2,Vidar,ThreatFox
ip,216.9.225.24,c2,Remcos,ThreatFox
url,https://zarbari.com/,phishing,Unknown malware,ThreatFox
domain,roptik.com,phishing,MacSync,ThreatFox
url,https://roptik.com/curl/b54cc90c9143f757e0ac59356414f14447d5f9cbbae0b0e61cf6b4e8ced28f42,phishing,MacSync,ThreatFox
url,https://roptik.com/dynamic?txd=b54cc90c9143f757e0ac59356414f14447d5f9cbbae0b0e61cf6b4e8ced28f42,phishing,MacSync,ThreatFox
ip,107.172.13.250,c2,Remcos,ThreatFox
domain,wagners123.duckdns.org,c2,Remcos,ThreatFox
ip,188.166.254.199,c2,Havoc,ThreatFox
ip,189.141.53.203,c2,Unknown malware,ThreatFox
ip,31.56.36.214,c2,LxBase RAT,ThreatFox
domain,5x6qtzvz.shop-geniusbrainsignal.com,phishing,ClearFake,ThreatFox
domain,wrdn.rest,c2,Unknown Stealer,ThreatFox
domain,shop-geniusbrainsignal.com,phishing,ClearFake,ThreatFox
domain,www.neelgirlchemicals.com,c2,Remcos,ThreatFox
domain,www.neelgirlchemicalsbackup.com,c2,Remcos,ThreatFox
domain,www.allltrucks.com,c2,Remcos,ThreatFox
ip,191.101.130.75,c2,XWorm,ThreatFox
domain,pv8jpfri.alldayslimtea.uk,phishing,ClearFake,ThreatFox
domain,wisma138ayaka.com,phishing,ClearFake,ThreatFox
domain,rental-lodge.ch,phishing,ClearFake,ThreatFox
domain,elitetourist.vn,phishing,ClearFake,ThreatFox
url,https://testingcf.jsdelivr.net/gh/989A-A-3fF2465495760-2B3a/248A-2-3A-1d2290-BC-416-6DbA/Bc28-54673384617Ab9-A3E5,phishing,ClearFake,ThreatFox
ip,45.192.248.45,c2,Cobalt Strike,ThreatFox
domain,queue.fastclimate.click,c2,Unknown malware,ThreatFox
ip,132.243.235.146,c2,Unknown malware,ThreatFox
domain,tndr-panel.online,c2,Unknown malware,ThreatFox
url,https://monokreatif.com/,phishing,Unknown malware,ThreatFox
url,https://taylorfamilyenterprisesllc.com/,phishing,Unknown malware,ThreatFox
url,https://rotonexpert.com/,phishing,Unknown malware,ThreatFox
ip,95.40.197.134,c2,ValleyRAT,ThreatFox
ip,95.40.252.4,c2,ValleyRAT,ThreatFox
ip,43.199.50.206,c2,ValleyRAT,ThreatFox
ip,95.40.173.114,c2,ValleyRAT,ThreatFox
ip,18.166.206.182,c2,ValleyRAT,ThreatFox
ip,18.166.222.99,c2,ValleyRAT,ThreatFox
ip,18.167.107.230,c2,ValleyRAT,ThreatFox
ip,18.167.189.134,c2,ValleyRAT,ThreatFox
ip,43.198.123.255,c2,ValleyRAT,ThreatFox
ip,43.198.213.132,c2,ValleyRAT,ThreatFox
ip,16.162.108.128,c2,ValleyRAT,ThreatFox
ip,16.163.175.60,c2,ValleyRAT,ThreatFox
ip,18.162.174.63,c2,ValleyRAT,ThreatFox
ip,18.166.189.193,c2,ValleyRAT,ThreatFox
ip,217.60.195.161,c2,Aisuru,ThreatFox
ip,104.245.107.22,c2,Remcos,ThreatFox
ip,176.65.139.231,c2,SparkRAT,ThreatFox
ip,146.56.245.187,c2,VShell,ThreatFox
ip,193.160.32.138,c2,Cobalt Strike,ThreatFox
ip,119.29.98.15,c2,Cobalt Strike,ThreatFox
domain,4i1yrtc2.shop-genesis-revival.com,phishing,ClearFake,ThreatFox
domain,shop-genesis-revival.com,phishing,ClearFake,ThreatFox
ip,144.172.117.212,c2,Unknown RAT,ThreatFox
ip,172.86.123.51,c2,Unknown RAT,ThreatFox
domain,foldlodge.xyz,c2,Unknown Loader,ThreatFox
domain,rmm.smartscreen.lifestyle,c2,Unknown RAT,ThreatFox
ip,119.3.156.192,c2,VShell,ThreatFox
ip,43.251.227.131,c2,VShell,ThreatFox
ip,8.148.187.55,c2,Cobalt Strike,ThreatFox
ip,43.156.82.233,c2,Jackskid,ThreatFox
domain,me7wszz7.usalo.store,phishing,ClearFake,ThreatFox
domain,sensa138pg.it.com,phishing,ClearFake,ThreatFox
domain,usalo.store,phishing,ClearFake,ThreatFox
url,http://175.107.2.57:40845/Mozi.a,phishing,Mozi,ThreatFox
ip,129.226.82.94,c2,Jackskid,ThreatFox
ip,43.130.251.228,c2,Jackskid,ThreatFox
ip,43.155.204.228,c2,Jackskid,ThreatFox
ip,43.156.47.240,c2,Jackskid,ThreatFox
ip,43.157.142.78,c2,Jackskid,ThreatFox
ip,43.157.181.156,c2,Jackskid,ThreatFox
ip,43.157.198.200,c2,Jackskid,ThreatFox
ip,43.166.153.58,c2,Jackskid,ThreatFox
ip,43.157.78.243,c2,Jackskid,ThreatFox
ip,43.166.68.17,c2,Jackskid,ThreatFox
ip,43.173.124.27,c2,Jackskid,ThreatFox
domain,uwc26lb6.wisma138cyno.net,phishing,ClearFake,ThreatFox
domain,wisma138cyno.net,phishing,ClearFake,ThreatFox
ip,39.100.66.238,c2,Cobalt Strike,ThreatFox
url,https://terporten.nl/,phishing,Unknown malware,ThreatFox
domain,ygr3wbty.prosta--fense.com,phishing,ClearFake,ThreatFox
ip,143.244.130.3,c2,Remus,ThreatFox
domain,siteborg.com,phishing,IClickFix,ThreatFox
domain,taylorfamilyenterprisesllc.com,phishing,IClickFix,ThreatFox
domain,tharposts.com,phishing,IClickFix,ThreatFox
domain,thecareerpath.net,phishing,IClickFix,ThreatFox
domain,thinness-minceur.com,phishing,IClickFix,ThreatFox
domain,tycoonorganics.com,phishing,IClickFix,ThreatFox
domain,vernonsu.com,phishing,IClickFix,ThreatFox
domain,vitalityhealthservices.com,phishing,IClickFix,ThreatFox
domain,xn--gp-bja.hu,phishing,IClickFix,ThreatFox
domain,zarbari.com,phishing,IClickFix,ThreatFox
domain,kanissaimmo.com,phishing,IClickFix,ThreatFox
domain,kingstrategicsolutions.com,phishing,IClickFix,ThreatFox
domain,kmjzholdings.com,phishing,IClickFix,ThreatFox
domain,littlebitcleaning.com,phishing,IClickFix,ThreatFox
domain,mat-part.pl,phishing,IClickFix,ThreatFox
domain,monokreatif.com,phishing,IClickFix,ThreatFox
domain,oklahoma-occitania.com,phishing,IClickFix,ThreatFox
domain,procontractorsmn.co,phishing,IClickFix,ThreatFox
domain,raymondemi.ca,phishing,IClickFix,ThreatFox
domain,republika-srpska-stuttgart.de,phishing,IClickFix,ThreatFox
domain,rotonexpert.com,phishing,IClickFix,ThreatFox
domain,sabersaude.com.pt,phishing,IClickFix,ThreatFox
domain,alolaiya.com,phishing,IClickFix,ThreatFox
domain,bayaslimo.com,phishing,IClickFix,ThreatFox
domain,brendastarrbooks.com,phishing,IClickFix,ThreatFox
domain,cavendish.co,phishing,IClickFix,ThreatFox
domain,cofevins.com,phishing,IClickFix,ThreatFox
domain,condominiovilares.com.br,phishing,IClickFix,ThreatFox
domain,darebinsulation.co.uk,phishing,IClickFix,ThreatFox
domain,dortovestudiodecin.cz,phishing,IClickFix,ThreatFox
domain,expo-tortas.com,phishing,IClickFix,ThreatFox
domain,gusanacoating.com,phishing,IClickFix,ThreatFox
domain,hollywoodcarpetinc.com,phishing,IClickFix,ThreatFox
domain,jetmed.co.zw,phishing,IClickFix,ThreatFox
domain,jurismilitaris.com.br,phishing,IClickFix,ThreatFox
domain,13win5y.com,phishing,IClickFix,ThreatFox
ip,181.235.13.254,c2,Quasar RAT,ThreatFox
ip,74.50.123.47,c2,Remcos,ThreatFox
domain,a7.zk89.net,c2,Vidar,ThreatFox
domain,a7.199cuan.org,c2,Vidar,ThreatFox
ip,124.221.4.84,c2,Cobalt Strike,ThreatFox
domain,www.gatewayresearchcenter.com,phishing,ClearFake,ThreatFox
ip,94.183.235.121,c2,Evilginx,ThreatFox
ip,93.186.38.135,c2,DeimosC2,ThreatFox
ip,64.181.194.179,c2,DanaBot,ThreatFox
ip,45.207.241.47,c2,DCRat,ThreatFox
ip,45.112.206.54,c2,AdaptixC2,ThreatFox
ip,4.231.16.194,c2,Unknown malware,ThreatFox
ip,31.56.209.53,c2,PureRAT,ThreatFox
ip,209.99.188.193,c2,AdaptixC2,ThreatFox
ip,194.26.192.153,c2,AsyncRAT,ThreatFox
ip,144.202.84.110,c2,Jackskid,ThreatFox
ip,45.32.64.165,c2,Jackskid,ThreatFox
ip,45.76.84.217,c2,Jackskid,ThreatFox
ip,64.176.67.103,c2,Jackskid,ThreatFox
ip,70.34.221.98,c2,Jackskid,ThreatFox
ip,172.86.91.14,c2,PureRAT,ThreatFox
ip,172.111.139.65,c2,DCRat,ThreatFox
ip,159.198.32.64,c2,Evilginx,ThreatFox
ip,15.235.149.212,c2,PureRAT,ThreatFox
ip,147.124.202.216,c2,AsyncRAT,ThreatFox
ip,128.90.105.123,c2,DCRat,ThreatFox
ip,122.51.212.92,c2,BianLian,ThreatFox
ip,124.198.131.60,c2,PureRAT,ThreatFox
ip,104.243.248.63,c2,AsyncRAT,ThreatFox
ip,102.188.200.238,c2,DCRat,ThreatFox
domain,yoga-fuer-maenner.de,phishing,Unknown Stealer,ThreatFox
domain,youhityourgoal.com,phishing,Unknown Stealer,ThreatFox
domain,zahnschirm.de,phishing,Unknown Stealer,ThreatFox
domain,zavimed.com,phishing,Unknown Stealer,ThreatFox
domain,zekerzit.nl,phishing,Unknown Stealer,ThreatFox
domain,zhang-ramen.de,phishing,Unknown Stealer,ThreatFox
domain,zwergennest-ulm.de,phishing,Unknown Stealer,ThreatFox
domain,vircaio.com,phishing,Unknown Stealer,ThreatFox
domain,visco-foam.com,phishing,Unknown Stealer,ThreatFox
domain,vivasicurezza.com,phishing,Unknown Stealer,ThreatFox
domain,vocalroads.com,phishing,Unknown Stealer,ThreatFox
domain,wagahattourist.com,phishing,Unknown Stealer,ThreatFox
domain,wahlplakate-archiv.de,phishing,Unknown Stealer,ThreatFox
domain,wakeeup.com,phishing,Unknown Stealer,ThreatFox
domain,wcpot.net,phishing,Unknown Stealer,ThreatFox
domain,willettebuilding.com,phishing,Unknown Stealer,ThreatFox
domain,xn--12ct4ap8bj4eva5b4gxe.com,phishing,Unknown Stealer,ThreatFox
domain,yeralogando.com,phishing,Unknown Stealer,ThreatFox
domain,yildirimotoaksesuar.com,phishing,Unknown Stealer,ThreatFox
domain,toorangostar.com,phishing,Unknown Stealer,ThreatFox
domain,topset-coaching.de,phishing,Unknown Stealer,ThreatFox
domain,tourbigeasy.com,phishing,Unknown Stealer,ThreatFox
domain,underthebooth.com,phishing,Unknown Stealer,ThreatFox
domain,undoism.org,phishing,Unknown Stealer,ThreatFox
domain,unser-dorf-lietzow.de,phishing,Unknown Stealer,ThreatFox
domain,upsolutservice.de,phishing,Unknown Stealer,ThreatFox
domain,uptime.com.br,phishing,Unknown Stealer,ThreatFox
domain,urlaubsdomizil-binz.de,phishing,Unknown Stealer,ThreatFox
domain,veprivletech.cz,phishing,Unknown Stealer,ThreatFox
domain,verifiedstats.net,phishing,Unknown Stealer,ThreatFox
domain,startupcv.ca,phishing,Unknown Stealer,ThreatFox
domain,szendryk-partner.de,phishing,Unknown Stealer,ThreatFox
domain,tadi.travel,phishing,Unknown Stealer,ThreatFox
domain,talentclinics.com,phishing,Unknown Stealer,ThreatFox
domain,tastyroots.blog,phishing,Unknown Stealer,ThreatFox
domain,tc-donauwoerth.de,phishing,Unknown Stealer,ThreatFox
domain,thanhtungtrieudo.com,phishing,Unknown Stealer,ThreatFox
domain,thegrimeguys.com,phishing,Unknown Stealer,ThreatFox
domain,thehappycoders.com,phishing,Unknown Stealer,ThreatFox
domain,theluxurycruiseadvisors.com,phishing,Unknown Stealer,ThreatFox
domain,themilkminimalist.com,phishing,Unknown Stealer,ThreatFox
domain,theplumberinc.com,phishing,Unknown Stealer,ThreatFox
domain,savingdogsandcats.com,phishing,Unknown Stealer,ThreatFox
domain,schmidt-russnak.de,phishing,Unknown Stealer,ThreatFox
domain,seiden-collagen-faden-lifting.com,phishing,Unknown Stealer,ThreatFox
domain,selftalkinstitute.com,phishing,Unknown Stealer,ThreatFox
domain,shopichain.com,phishing,Unknown Stealer,ThreatFox
domain,simenyi.hu,phishing,Unknown Stealer,ThreatFox
domain,skraddarnshus.se,phishing,Unknown Stealer,ThreatFox
domain,smartmedservices.net,phishing,Unknown Stealer,ThreatFox
domain,soundtrk.com,phishing,Unknown Stealer,ThreatFox
domain,sprzataniegrobow.krakow.pl,phishing,Unknown Stealer,ThreatFox
domain,sraak.nl,phishing,Unknown Stealer,ThreatFox
domain,paulusgemeinde-raunheim.de,phishing,Unknown Stealer,ThreatFox
domain,payangel.info,phishing,Unknown Stealer,ThreatFox
domain,paystubsetc.com,phishing,Unknown Stealer,ThreatFox
domain,pegasoheating.com,phishing,Unknown Stealer,ThreatFox
domain,praxis-siegeris.de,phishing,Unknown Stealer,ThreatFox
domain,pytacie.pl,phishing,Unknown Stealer,ThreatFox
domain,restauration-galaxy-tapis.com,phishing,Unknown Stealer,ThreatFox
domain,rijschoolpegasus.nl,phishing,Unknown Stealer,ThreatFox
domain,romancingthebean.com,phishing,Unknown Stealer,ThreatFox
domain,runningwithj.com,phishing,Unknown Stealer,ThreatFox
domain,saigont-shirt.com,phishing,Unknown Stealer,ThreatFox
domain,sandyapron.com,phishing,Unknown Stealer,ThreatFox
domain,nutritionsecureindy.com,phishing,Unknown Stealer,ThreatFox
domain,nycoworkspace.com,phishing,Unknown Stealer,ThreatFox
domain,omtickets.de,phishing,Unknown Stealer,ThreatFox
domain,onthewingsoffood.com,phishing,Unknown Stealer,ThreatFox
domain,ortho-delfzijl.nl,phishing,Unknown Stealer,ThreatFox
domain,osmeuspes.pt,phishing,Unknown Stealer,ThreatFox
domain,otticamoderna.eu,phishing,Unknown Stealer,ThreatFox
domain,outreachfarmproject.org,phishing,Unknown Stealer,ThreatFox
domain,ozilver.nl,phishing,Unknown Stealer,ThreatFox
domain,ozsuteknik.com,phishing,Unknown Stealer,ThreatFox
domain,pacifictowers.com,phishing,Unknown Stealer,ThreatFox
domain,moitruongbacninh24h.com,phishing,Unknown Stealer,ThreatFox
domain,mossycupfarm.com,phishing,Unknown Stealer,ThreatFox
domain,mozellatransportationinc.com,phishing,Unknown Stealer,ThreatFox
domain,msoid.fpspoznan.pl,phishing,Unknown Stealer,ThreatFox
domain,muehldorf-simbach.de,phishing,Unknown Stealer,ThreatFox
domain,natalie-murray.com,phishing,Unknown Stealer,ThreatFox
domain,ndmcorporatesolutions.com,phishing,Unknown Stealer,ThreatFox
domain,nettwark.org,phishing,Unknown Stealer,ThreatFox
domain,newstonerealtygroup.com,phishing,Unknown Stealer,ThreatFox
domain,newvistastudios.com,phishing,Unknown Stealer,ThreatFox
domain,nguyenthanhluong.com,phishing,Unknown Stealer,ThreatFox
domain,nicole.wedler.nl,phishing,Unknown Stealer,ThreatFox
domain,nukewatch.org,phishing,Unknown Stealer,ThreatFox
domain,lyncdiscoverinternal.fpspoznan.pl,phishing,Unknown Stealer,ThreatFox
domain,maasleather.com,phishing,Unknown Stealer,ThreatFox
domain,magaleria.com,phishing,Unknown Stealer,ThreatFox
domain,marinacolerato.com.br,phishing,Unknown Stealer,ThreatFox
domain,marketzest.com,phishing,Unknown Stealer,ThreatFox
domain,mashhadasansor.com,phishing,Unknown Stealer,ThreatFox
domain,maximtubes.com,phishing,Unknown Stealer,ThreatFox
domain,melanie-altbuerger.de,phishing,Unknown Stealer,ThreatFox
domain,mensvitalitycenter.com,phishing,Unknown Stealer,ThreatFox
domain,midlandsbuggyhire.co.uk,phishing,Unknown Stealer,ThreatFox
domain,midwestfreefall.com,phishing,Unknown Stealer,ThreatFox
domain,mindful-karrierecoaching.de,phishing,Unknown Stealer,ThreatFox
domain,mobinnova.com,phishing,Unknown Stealer,ThreatFox
domain,krbookstore.com,phishing,Unknown Stealer,ThreatFox
domain,kronebo.dk,phishing,Unknown Stealer,ThreatFox
domain,lamanchega.com.uy,phishing,Unknown Stealer,ThreatFox
domain,largebreedpuppiesreadyfornowhome.com,phishing,Unknown Stealer,ThreatFox
domain,laststopsolar.com,phishing,Unknown Stealer,ThreatFox
domain,lebenslaudatio.de,phishing,Unknown Stealer,ThreatFox
domain,lerecept.fr,phishing,Unknown Stealer,ThreatFox
domain,lianacosmetic.com,phishing,Unknown Stealer,ThreatFox
domain,loewenpudel.de,phishing,Unknown Stealer,ThreatFox
domain,loginfa.ir,phishing,Unknown Stealer,ThreatFox
domain,lot204.com,phishing,Unknown Stealer,ThreatFox
domain,luxestorebd.com,phishing,Unknown Stealer,ThreatFox
domain,k-heck.de,phishing,Unknown Stealer,ThreatFox
domain,katarijewelry.com,phishing,Unknown Stealer,ThreatFox
domain,kesaria.com,phishing,Unknown Stealer,ThreatFox
domain,key-melody.com,phishing,Unknown Stealer,ThreatFox
domain,kgv-eintracht.de,phishing,Unknown Stealer,ThreatFox
domain,khtshop.com,phishing,Unknown Stealer,ThreatFox
domain,ki-museum.de,phishing,Unknown Stealer,ThreatFox
domain,kinderopvangdopey.com,phishing,Unknown Stealer,ThreatFox
domain,kindmindsociety.com,phishing,Unknown Stealer,ThreatFox
domain,knoxvol.com,phishing,Unknown Stealer,ThreatFox
domain,konshenglass.com,phishing,Unknown Stealer,ThreatFox
domain,halcyonresource.com,phishing,Unknown Stealer,ThreatFox
domain,hallettsvilleculturaleventcenter.org,phishing,Unknown Stealer,ThreatFox
domain,heinz-trox-stiftung.de,phishing,Unknown Stealer,ThreatFox
domain,hightidedtla.com,phishing,Unknown Stealer,ThreatFox
domain,hrconsulting.com.pl,phishing,Unknown Stealer,ThreatFox
domain,hubusontour.de,phishing,Unknown Stealer,ThreatFox
domain,iac-dueren.de,phishing,Unknown Stealer,ThreatFox
domain,imstil.de,phishing,Unknown Stealer,ThreatFox
domain,incomefolios.com,phishing,Unknown Stealer,ThreatFox
domain,inpsicon.com,phishing,Unknown Stealer,ThreatFox
domain,jdnsquare.com,phishing,Unknown Stealer,ThreatFox
domain,jmraceradiators.com,phishing,Unknown Stealer,ThreatFox
domain,justhr.be,phishing,Unknown Stealer,ThreatFox
domain,fiy.cz,phishing,Unknown Stealer,ThreatFox
domain,foerderverein-mineralfreibad-hoefen.de,phishing,Unknown Stealer,ThreatFox
domain,fraukakau.com,phishing,Unknown Stealer,ThreatFox
domain,funkenwind.de,phishing,Unknown Stealer,ThreatFox
domain,gabfixhomesolutions.com,phishing,Unknown Stealer,ThreatFox
domain,gasstationgourmet.com,phishing,Unknown Stealer,ThreatFox
domain,gentlemensmechanical.com,phishing,Unknown Stealer,ThreatFox
domain,glasreinigung-melle.de,phishing,Unknown Stealer,ThreatFox
domain,globalfoodsafetyresource.com,phishing,Unknown Stealer,ThreatFox
domain,goinstudios.com,phishing,Unknown Stealer,ThreatFox
domain,greensite.org,phishing,Unknown Stealer,ThreatFox
domain,gsimvogelgesang.de,phishing,Unknown Stealer,ThreatFox
domain,guanacaste.info,phishing,Unknown Stealer,ThreatFox
domain,drminaataei.com,phishing,Unknown Stealer,ThreatFox
domain,drumfluence.com,phishing,Unknown Stealer,ThreatFox
domain,ecoconsortium.io,phishing,Unknown Stealer,ThreatFox
domain,edeka-kutsche.de,phishing,Unknown Stealer,ThreatFox
domain,eft-azione.it,phishing,Unknown Stealer,ThreatFox
domain,eltechna.com,phishing,Unknown Stealer,ThreatFox
domain,equestrasian.org,phishing,Unknown Stealer,ThreatFox
domain,esrataskinadiyaman.com,phishing,Unknown Stealer,ThreatFox
domain,estevezmichelena.com,phishing,Unknown Stealer,ThreatFox
domain,etlglobal.co.uk,phishing,Unknown Stealer,ThreatFox
domain,etta-textservice.de,phishing,Unknown Stealer,ThreatFox
domain,faunatravel.com,phishing,Unknown Stealer,ThreatFox
domain,fdp-telgte.de,phishing,Unknown Stealer,ThreatFox
domain,crustandcream.com,phishing,Unknown Stealer,ThreatFox
domain,ctsignworks.com,phishing,Unknown Stealer,ThreatFox
domain,databound.co,phishing,Unknown Stealer,ThreatFox
domain,dentalmora.com,phishing,Unknown Stealer,ThreatFox
domain,digitaltigerbd.com,phishing,Unknown Stealer,ThreatFox
domain,dimveterana.com,phishing,Unknown Stealer,ThreatFox
domain,dirtywork.media,phishing,Unknown Stealer,ThreatFox
domain,disciplina.nl,phishing,Unknown Stealer,ThreatFox
domain,disruptivo.tv,phishing,Unknown Stealer,ThreatFox
domain,dpfk.com,phishing,Unknown Stealer,ThreatFox
domain,dr-melanie-horstmann.de,phishing,Unknown Stealer,ThreatFox
domain,celler-spiesser.de,phishing,Unknown Stealer,ThreatFox
domain,ceylonictravels.com,phishing,Unknown Stealer,ThreatFox
domain,chadoichi.com,phishing,Unknown Stealer,ThreatFox
domain,chateauneuf-du-faou.com,phishing,Unknown Stealer,ThreatFox
domain,christophburgstedt.de,phishing,Unknown Stealer,ThreatFox
domain,classicalexcursions.com,phishing,Unknown Stealer,ThreatFox
domain,cne.paris,phishing,Unknown Stealer,ThreatFox
domain,colinphillipsfunerals.com,phishing,Unknown Stealer,ThreatFox
domain,conceptalk.com,phishing,Unknown Stealer,ThreatFox
domain,confagricolturacuneo.it,phishing,Unknown Stealer,ThreatFox
domain,corelabs.com.ng,phishing,Unknown Stealer,ThreatFox
domain,countrysideanimalhealth.com,phishing,Unknown Stealer,ThreatFox
domain,cristouch.com,phishing,Unknown Stealer,ThreatFox
domain,arvanstore.com,phishing,Unknown Stealer,ThreatFox
domain,aryadigitalmarketing.com,phishing,Unknown Stealer,ThreatFox
domain,astutecopyblogging.com,phishing,Unknown Stealer,ThreatFox
domain,bedrijfswagensschijndel.nl,phishing,Unknown Stealer,ThreatFox
domain,boloviuledjima.rs,phishing,Unknown Stealer,ThreatFox
domain,bonas.nl,phishing,Unknown Stealer,ThreatFox
domain,brainstorm-events.de,phishing,Unknown Stealer,ThreatFox
domain,brittner.net,phishing,Unknown Stealer,ThreatFox
domain,bsv-dinslaken.de,phishing,Unknown Stealer,ThreatFox
domain,bvvaladares.com,phishing,Unknown Stealer,ThreatFox
domain,bz-wobi.de,phishing,Unknown Stealer,ThreatFox
domain,caitlinandcamera.com,phishing,Unknown Stealer,ThreatFox
domain,care-more-plus.de,phishing,Unknown Stealer,ThreatFox
domain,cazari-brasov.ro,phishing,Unknown Stealer,ThreatFox
domain,1connect-software.de,phishing,Unknown Stealer,ThreatFox
domain,1connect.pl,phishing,Unknown Stealer,ThreatFox
domain,7raaz.com,phishing,Unknown Stealer,ThreatFox
domain,agilecircle.de,phishing,Unknown Stealer,ThreatFox
domain,alchemybeauty.ca,phishing,Unknown Stealer,ThreatFox
domain,alfabit.hr,phishing,Unknown Stealer,ThreatFox
domain,alorisk.com,phishing,Unknown Stealer,ThreatFox
domain,americandreamsfoundation.org,phishing,Unknown Stealer,ThreatFox
domain,amesf.ac.ir,phishing,Unknown Stealer,ThreatFox
domain,amoysupply.com,phishing,Unknown Stealer,ThreatFox
domain,andersonamendments.app,phishing,Unknown Stealer,ThreatFox
domain,anoesh.nl,phishing,Unknown Stealer,ThreatFox
domain,apparthub.com,phishing,Unknown Stealer,ThreatFox
domain,007tg.vip,phishing,Unknown Stealer,ThreatFox
domain,086bn6e3.prostafene.com,phishing,ClearFake,ThreatFox
